target_code,target,ym,actual_log,synthetic_log,gap_log
16,Toyama,201604,12.543365973535003,12.511820968234627,0.031545005300376516
16,Toyama,201605,12.699457051676221,12.645960326999328,0.05349672467689359
16,Toyama,201606,12.371798925974433,12.51422499348423,-0.14242606750979725
16,Toyama,201607,12.608499810424886,12.727621117887354,-0.11912130746246774
16,Toyama,201608,13.04158706737704,13.036403183578864,0.005183883798176581
16,Toyama,201609,12.603639981511197,12.663772266151664,-0.06013228464046705
16,Toyama,201610,12.750516780919789,12.665434827723358,0.08508195319643086
16,Toyama,201611,12.451603715722012,12.559023485907822,-0.10741977018581039
16,Toyama,201612,12.313670656128192,12.38972258478031,-0.0760519286521184
16,Toyama,201701,12.31832932787584,12.288893676337066,0.029435651538774366
16,Toyama,201702,12.39619701438715,12.274154399196924,0.1220426151902263
16,Toyama,201703,12.494779193028142,12.546753523855713,-0.05197433082757108
16,Toyama,201704,12.642681060407098,12.462105256396914,0.18057580401018392
16,Toyama,201705,12.829306888615093,12.677368810214354,0.15193807840073958
16,Toyama,201706,12.602429734607611,12.509396056213834,0.09303367839377685
16,Toyama,201707,12.729350418485403,12.682771187458702,0.04657923102670125
16,Toyama,201708,13.096224719794634,12.995448226690488,0.10077649310414571
16,Toyama,201709,12.80014506914888,12.630927816183249,0.1692172529656304
16,Toyama,201710,12.884461455114574,12.699111269621023,0.18535018549355087
16,Toyama,201711,12.726531718264402,12.626762788744305,0.09976892952009742
16,Toyama,201712,12.489671392544318,12.416664908460621,0.07300648408369703
16,Toyama,201801,12.344790564841997,12.334861559227583,0.009929005614413455
16,Toyama,201802,12.387935763923968,12.397160029071081,-0.009224265147112831
16,Toyama,201803,12.498592994622204,12.545073691609435,-0.04648069698723134
16,Toyama,201804,12.628394870704762,12.585571073217052,0.042823797487709925
16,Toyama,201805,12.763486009910396,12.74402907289024,0.019456937020155607
16,Toyama,201806,12.503989661794359,12.610970605365994,-0.10698094357163512
16,Toyama,201807,12.722064899247524,12.719221959908484,0.002842939339039674
16,Toyama,201808,13.085574903956493,13.122316455973296,-0.03674155201680307
16,Toyama,201809,12.781702380161661,12.76702728858384,0.01467509157782132
16,Toyama,201810,12.770960227394696,12.819165037393054,-0.0482048099983583
16,Toyama,201811,12.721079515689388,12.76609230226853,-0.04501278657914298
16,Toyama,201812,12.467667383218636,12.588046331644133,-0.1203789484254969
16,Toyama,201901,12.25176277144729,12.305572213180183,-0.05380944173289315
16,Toyama,201902,12.361023005527997,12.329518962762469,0.031504042765527984
16,Toyama,201903,12.468821451436742,12.534628037441399,-0.06580658600465661
16,Toyama,201904,12.762253971016962,12.619923358924776,0.14233061209218612
16,Toyama,201905,12.872105533598548,12.786613119888894,0.08549241370965355
16,Toyama,201906,12.5380347266735,12.58492216694116,-0.04688744026766045
16,Toyama,201907,12.698388006537067,12.670406102527473,0.02798190400959477
16,Toyama,201908,13.03206660942317,12.952851845341675,0.0792147640814953
16,Toyama,201909,12.785154869802147,12.652566274376813,0.13258859542533408
16,Toyama,201910,12.768883324362116,12.66753641040776,0.10134691395435702
16,Toyama,201911,12.712076664016948,12.680348926369275,0.03172773764767278
16,Toyama,201912,12.48484010059238,12.453756009370046,0.031084091222334465
